id	label	category	prompt	guide_kind	temperature	top_k	cfg_musiccoca	cfg_notes	cfg_drums
001_low_voltage_fog	Low Voltage Fog	analog_drone	Create an original beatless ambient synthesizer texture called Low Voltage Fog. A continuous low-register detuned modular VCO stack low analog drone with slow phase beating and continuous harmonic or noise movement. Add warm saturation, tape delay smear, and a stable plate reverb tail with a wide stable stereo field. The sound should feel like heavy fog and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	analog_drone	0.580	36	7.400	6.500	0.000
002_spectral_ice_halo	Spectral Ice Halo	spectral_pad	Create an original beatless ambient synthesizer texture called Spectral Ice Halo. A continuous mid-register high-mid wavetable and additive sine cloud luminous spectral pad with phase smear across upper harmonics and continuous harmonic or noise movement. Add shimmer reverb, transparent chorus, and resonant high-pass air with slow pan diffusion. The sound should feel like cold aurora and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	spectral_pad	0.640	56	7.100	6.200	0.000
003_carbon_room_tone	Carbon Room Tone	cinema_noise	Create an original beatless ambient synthesizer texture called Carbon Room Tone. A wide full-register filtered broadband noise and subharmonic pressure dark cinematic noise bed with low shelf pressure rising without hits and continuous harmonic or noise movement. Add dark notch filtering, soft clipping, and a long metallic tail with a centered low end and wide upper reflections. The sound should feel like cinematic tension and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	cinema_noise	0.820	88	7.300	3.800	0.000
004_buffer_dust_field	Buffer Dust Field	granular_glitch	Create an original beatless ambient synthesizer texture called Buffer Dust Field. A soft high-mid frozen buffer and broken resampling layer continuous granular glitch sustain with tiny buffer slips without a beat grid and continuous harmonic or noise movement. Add short freeze delay, spectral blur, and wide unstable reflections with large distant-room depth. The sound should feel like electric dust and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	granular_glitch	0.960	124	6.700	3.200	0.000
005_bronze_harmonic_mist	Bronze Harmonic Mist	metallic_cloud	Create an original beatless ambient synthesizer texture called Bronze Harmonic Mist. A deep low-mid FM partials, ring-modulated sines, and tuned resonators metallic harmonic cloud with long metallic overtones folding inward and continuous harmonic or noise movement. Add soft clipping, ring shimmer, and wide reflective space with close dry center with a long rear tail. The sound should feel like chromatic pressure and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	metallic	0.740	82	7.000	5.600	0.000
006_feedback_corridor	Feedback Corridor	modular_feedback	Create an original beatless ambient synthesizer texture called Feedback Corridor. A continuous low-register resonant filter feedback network and wavefolder self-balancing modular feedback patch with feedback hovering below instability and continuous harmonic or noise movement. Add folded harmonics, low-pass damping, and wide feedback delay with a wide stable stereo field. The sound should feel like slow feedback weather and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	analog_drone	0.780	70	7.200	4.800	0.000
007_tape_memory_drift	Tape Memory Drift	tape_loop	Create an original beatless ambient synthesizer texture called Tape Memory Drift. A continuous mid-register old string machine, soft organ, and saturated tape loop warped tape-loop pad with slow tape-head color drift and continuous harmonic or noise movement. Add old preamp noise, chorus ensemble, and long velvet reverb with slow pan diffusion. The sound should feel like faded memory and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	spectral_pad	0.540	32	7.500	6.800	0.000
008_silver_air_veil	Silver Air Veil	air_dust	Create an original beatless ambient synthesizer texture called Silver Air Veil. A wide full-register filtered hiss, bowed noise, and soft harmonic air high air and dust layer with noise grains thinning and thickening and continuous harmonic or noise movement. Add bowed-noise filtering, transparent compression, and a long room tail with a centered low end and wide upper reflections. The sound should feel like open air and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	cinema_noise	0.860	104	6.800	2.800	0.000
009_sine_cathedral_hold	Sine Cathedral Hold	organ_sustain	Create an original beatless ambient synthesizer texture called Sine Cathedral Hold. A soft high-mid stacked sine oscillators and soft drawbar-like partials steady electronic organ sustain with subtle ensemble thickness and continuous harmonic or noise movement. Add subtle tape color, anti-click smoothing, and clear sustained space with large distant-room depth. The sound should feel like held electronic breath and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	spectral_pad	0.500	28	7.600	6.900	0.000
010_resonant_concrete_bloom	Resonant Concrete Bloom	electroacoustic_resonance	Create an original beatless ambient synthesizer texture called Resonant Concrete Bloom. A deep low-mid processed bowed metal, contact-mic hum, and resonator bank electroacoustic resonant field with small spectral resonances appearing and disappearing and continuous harmonic or noise movement. Add bowed-metal diffusion, slow EQ tilt, and long reflective tails with close dry center with a long rear tail. The sound should feel like museum machinery and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	metallic	0.880	112	6.900	4.400	0.000
